,0
news_huma_81691.txt,chat_huma_128729.txt
reviews_huma_124457.txt,how-to_C_47238.txt
wikipedia_huma_72197.txt,chat_huma_61886.txt
tweets_huma_62975.txt,chat_huma_61886.txt
wikipedia_huma_114160.txt,chat_huma_128729.txt
literary_huma_74054.txt,how-to_C_47238.txt
reviews_huma_89925.txt,how-to_C_47238.txt
literary_huma_9256.txt,how-to_huma_137140.txt
literary_huma_87169.txt,how-to_C_74483.txt
news_huma_40448.txt,chat_huma_17177.txt
news_huma_27914.txt,how-to_C_47238.txt
news_huma_123560.txt,how-to_C_74483.txt
reviews_huma_113025.txt,chat_C_16200.txt
literary_huma_143606.txt,how-to_C_47238.txt
literary_huma_55017.txt,how-to_C_47238.txt
news_C_56436.txt,how-to_C_47238.txt
literary_huma_48426.txt,how-to_C_47238.txt
wikipedia_huma_140525.txt,chat_huma_17177.txt
wikipedia_huma_96732.txt,chat_huma_61886.txt
wikipedia_huma_144184.txt,chat_huma_61886.txt
news_huma_80581.txt,chat_huma_61886.txt
tweets_huma_34300.txt,chat_C_16200.txt
literary_huma_13256.txt,how-to_C_74483.txt
wikipedia_C_12997.txt,chat_huma_28997.txt
wikipedia_huma_129822.txt,chat_huma_65430.txt
tweets_huma_121669.txt,chat_huma_128729.txt
literary_huma_65364.txt,how-to_C_74483.txt
news_huma_112371.txt,how-to_C_47238.txt
literary_huma_18409.txt,how-to_C_47238.txt
reviews_huma_130691.txt,how-to_C_47238.txt
news_huma_142427.txt,how-to_huma_137140.txt
literary_huma_139877.txt,how-to_huma_137140.txt
news_huma_2248.txt,chat_huma_17177.txt
wikipedia_huma_69479.txt,how-to_huma_137140.txt
news_huma_152528.txt,how-to_huma_137140.txt
tweets_huma_22790.txt,chat_huma_61886.txt
tweets_C_86970.txt,chat_huma_51182.txt
reviews_huma_28827.txt,chat_huma_128729.txt
literary_huma_120186.txt,how-to_huma_137140.txt
wikipedia_huma_1049.txt,how-to_C_74483.txt
wikipedia_huma_104747.txt,chat_huma_51418.txt
news_huma_47353.txt,how-to_C_74483.txt
wikipedia_C_124650.txt,chat_huma_146357.txt
reviews_huma_147665.txt,chat_huma_17177.txt
tweets_huma_74916.txt,chat_huma_144491.txt
news_C_29468.txt,chat_huma_17177.txt
literary_huma_82119.txt,how-to_huma_137140.txt
news_C_99645.txt,chat_huma_138627.txt
literary_huma_14501.txt,how-to_C_47238.txt
literary_huma_114394.txt,chat_huma_17177.txt
news_huma_127442.txt,chat_huma_17177.txt
news_huma_31752.txt,chat_huma_128729.txt
wikipedia_huma_63.txt,chat_huma_17177.txt
wikipedia_huma_1326.txt,chat_huma_17177.txt
literary_huma_81269.txt,chat_huma_17177.txt
reviews_huma_111494.txt,chat_huma_146357.txt
literary_huma_92943.txt,how-to_huma_137140.txt
tweets_huma_6773.txt,chat_C_129679.txt
wikipedia_huma_49759.txt,chat_huma_17177.txt
literary_huma_112950.txt,how-to_C_47238.txt
reviews_huma_64160.txt,how-to_C_59309.txt
literary_huma_119130.txt,how-to_C_47238.txt
wikipedia_huma_85151.txt,chat_huma_17177.txt
reviews_C_23467.txt,chat_huma_28997.txt
wikipedia_C_27906.txt,chat_huma_146357.txt
wikipedia_huma_118626.txt,how-to_C_47238.txt
literary_huma_87726.txt,chat_huma_17177.txt
wikipedia_huma_148673.txt,how-to_huma_137140.txt
wikipedia_huma_23458.txt,how-to_huma_69650.txt
wikipedia_huma_40856.txt,how-to_C_47238.txt
reviews_huma_12772.txt,how-to_C_74483.txt
wikipedia_huma_19029.txt,chat_huma_61886.txt
literary_huma_144383.txt,how-to_C_47238.txt
wikipedia_huma_63781.txt,chat_huma_17177.txt
news_huma_20959.txt,how-to_huma_137140.txt
news_huma_12188.txt,how-to_C_74483.txt
news_C_27796.txt,chat_huma_61886.txt
wikipedia_huma_104588.txt,how-to_huma_137140.txt
literary_huma_2911.txt,how-to_C_74483.txt
tweets_huma_18482.txt,chat_huma_41162.txt
news_C_16266.txt,how-to_C_47238.txt
literary_huma_30857.txt,how-to_huma_137140.txt
literary_huma_118512.txt,chat_huma_17177.txt
literary_huma_44898.txt,how-to_C_47238.txt
news_huma_99033.txt,chat_huma_17177.txt
tweets_huma_124113.txt,chat_huma_13363.txt
news_huma_22822.txt,chat_huma_128729.txt
reviews_huma_64137.txt,chat_huma_105176.txt
reviews_huma_57710.txt,how-to_huma_137140.txt
reviews_huma_129206.txt,chat_huma_51182.txt
literary_huma_114971.txt,chat_huma_61886.txt
news_huma_88147.txt,how-to_C_74483.txt
news_huma_115587.txt,how-to_huma_45448.txt
literary_huma_132244.txt,how-to_C_47238.txt
news_huma_57645.txt,chat_huma_65430.txt
wikipedia_huma_100708.txt,chat_huma_28997.txt
news_huma_131786.txt,how-to_C_47238.txt
news_huma_101282.txt,chat_huma_61886.txt
literary_huma_99415.txt,how-to_C_47238.txt
literary_huma_69664.txt,how-to_huma_24146.txt
literary_huma_152429.txt,how-to_C_47238.txt
literary_huma_17086.txt,how-to_C_47238.txt
reviews_huma_61801.txt,how-to_C_47238.txt
wikipedia_huma_9316.txt,chat_huma_146357.txt
tweets_huma_17644.txt,chat_huma_15763.txt
literary_huma_55697.txt,how-to_C_47238.txt
literary_huma_90586.txt,how-to_C_74483.txt
literary_huma_59398.txt,how-to_C_47238.txt
news_huma_68469.txt,how-to_huma_45448.txt
wikipedia_huma_24702.txt,chat_huma_61886.txt
reviews_huma_58622.txt,chat_huma_53761.txt
news_huma_89352.txt,how-to_huma_137140.txt
literary_huma_74134.txt,how-to_C_74483.txt
news_huma_70041.txt,how-to_C_74483.txt
