,0
news_huma_81691.txt,chat_huma_128729.txt
reviews_huma_124457.txt,chat_huma_84112.txt
wikipedia_huma_72197.txt,how-to_huma_88934.txt
tweets_huma_62975.txt,chat_huma_61886.txt
wikipedia_huma_114160.txt,chat_F_59684.txt
literary_huma_74054.txt,chat_huma_91935.txt
reviews_huma_89925.txt,chat_huma_84112.txt
literary_huma_9256.txt,how-to_huma_137140.txt
literary_huma_87169.txt,chat_huma_91935.txt
news_huma_40448.txt,chat_huma_17177.txt
news_F_88215.txt,chat_F_59684.txt
news_huma_27914.txt,how-to_huma_137140.txt
news_huma_123560.txt,chat_huma_128729.txt
reviews_huma_113025.txt,chat_huma_84158.txt
literary_huma_143606.txt,chat_huma_91935.txt
literary_huma_55017.txt,chat_huma_17177.txt
wikipedia_F_133130.txt,chat_huma_17177.txt
literary_huma_48426.txt,chat_huma_17177.txt
wikipedia_huma_140525.txt,chat_huma_17177.txt
wikipedia_huma_96732.txt,chat_huma_61886.txt
literary_F_67415.txt,chat_huma_99753.txt
wikipedia_huma_144184.txt,chat_huma_61886.txt
news_huma_80581.txt,chat_huma_61886.txt
tweets_huma_34300.txt,chat_huma_84112.txt
literary_huma_13256.txt,chat_F_59684.txt
wikipedia_huma_129822.txt,chat_huma_65430.txt
tweets_huma_121669.txt,chat_F_41736.txt
news_F_58342.txt,how-to_huma_137140.txt
literary_huma_65364.txt,chat_huma_128729.txt
news_huma_112371.txt,how-to_huma_137140.txt
literary_huma_18409.txt,chat_huma_91935.txt
reviews_huma_130691.txt,how-to_huma_137140.txt
news_huma_142427.txt,how-to_huma_137140.txt
literary_huma_139877.txt,how-to_huma_137140.txt
literary_F_49440.txt,how-to_huma_137140.txt
news_huma_2248.txt,chat_huma_17177.txt
wikipedia_huma_69479.txt,chat_F_118150.txt
news_huma_152528.txt,how-to_huma_137140.txt
tweets_huma_22790.txt,chat_huma_128024.txt
news_F_103180.txt,chat_huma_17177.txt
reviews_huma_28827.txt,chat_huma_128729.txt
literary_huma_120186.txt,how-to_huma_137140.txt
wikipedia_huma_1049.txt,how-to_huma_88934.txt
wikipedia_huma_104747.txt,chat_huma_51418.txt
news_huma_47353.txt,chat_huma_61886.txt
reviews_huma_147665.txt,chat_huma_17177.txt
tweets_huma_74916.txt,chat_huma_144491.txt
literary_huma_82119.txt,chat_huma_91935.txt
literary_huma_14501.txt,chat_huma_91935.txt
literary_huma_114394.txt,chat_huma_17177.txt
news_huma_127442.txt,chat_huma_17177.txt
news_huma_31752.txt,chat_huma_91935.txt
wikipedia_huma_63.txt,chat_huma_17177.txt
wikipedia_huma_1326.txt,chat_huma_17177.txt
literary_huma_81269.txt,chat_huma_17177.txt
reviews_huma_111494.txt,chat_huma_40679.txt
literary_huma_92943.txt,how-to_huma_137140.txt
tweets_huma_6773.txt,chat_huma_40679.txt
wikipedia_huma_49759.txt,chat_huma_17177.txt
literary_F_94428.txt,chat_huma_61886.txt
news_F_9422.txt,chat_huma_17177.txt
literary_huma_112950.txt,chat_huma_91935.txt
reviews_huma_64160.txt,chat_huma_128729.txt
literary_huma_119130.txt,chat_huma_91935.txt
wikipedia_huma_85151.txt,chat_huma_17177.txt
wikipedia_huma_118626.txt,how-to_huma_45448.txt
wikipedia_F_133208.txt,chat_huma_61886.txt
literary_huma_87726.txt,chat_huma_17177.txt
wikipedia_huma_148673.txt,how-to_huma_137140.txt
wikipedia_huma_23458.txt,how-to_huma_69650.txt
wikipedia_huma_40856.txt,chat_huma_91935.txt
reviews_huma_12772.txt,chat_F_118150.txt
wikipedia_F_48679.txt,how-to_huma_1826.txt
wikipedia_huma_19029.txt,chat_huma_61886.txt
literary_huma_144383.txt,chat_huma_91935.txt
wikipedia_huma_63781.txt,chat_huma_17177.txt
news_huma_20959.txt,how-to_huma_137140.txt
news_huma_12188.txt,chat_huma_91935.txt
wikipedia_huma_104588.txt,how-to_huma_88934.txt
literary_huma_2911.txt,chat_huma_91935.txt
tweets_huma_18482.txt,chat_huma_41162.txt
news_F_29309.txt,how-to_huma_137140.txt
literary_huma_30857.txt,how-to_huma_137140.txt
literary_huma_118512.txt,chat_huma_17177.txt
literary_huma_44898.txt,chat_huma_91935.txt
reviews_F_146865.txt,chat_huma_128729.txt
news_huma_99033.txt,chat_huma_17177.txt
tweets_F_68101.txt,chat_huma_28997.txt
wikipedia_F_12387.txt,how-to_huma_137140.txt
tweets_huma_124113.txt,chat_huma_13363.txt
news_huma_22822.txt,chat_huma_128729.txt
reviews_huma_64137.txt,chat_huma_61886.txt
reviews_huma_57710.txt,how-to_huma_137140.txt
reviews_huma_129206.txt,chat_F_59684.txt
literary_huma_114971.txt,chat_huma_61886.txt
news_huma_88147.txt,how-to_huma_137140.txt
news_huma_115587.txt,chat_huma_128729.txt
literary_huma_132244.txt,chat_huma_61886.txt
news_huma_57645.txt,chat_huma_65430.txt
literary_F_67877.txt,how-to_huma_137140.txt
wikipedia_huma_100708.txt,chat_huma_28997.txt
news_huma_131786.txt,how-to_huma_137140.txt
news_huma_101282.txt,chat_huma_61886.txt
news_F_68235.txt,chat_huma_61886.txt
literary_huma_99415.txt,chat_huma_17177.txt
literary_huma_69664.txt,how-to_huma_24146.txt
literary_huma_152429.txt,chat_huma_17177.txt
literary_huma_17086.txt,how-to_huma_137140.txt
reviews_huma_61801.txt,chat_huma_91935.txt
wikipedia_huma_9316.txt,chat_huma_91935.txt
reviews_F_91901.txt,how-to_huma_137140.txt
tweets_huma_17644.txt,chat_huma_15763.txt
literary_huma_55697.txt,chat_huma_128729.txt
literary_huma_90586.txt,chat_huma_91935.txt
literary_huma_59398.txt,how-to_huma_1826.txt
news_huma_68469.txt,how-to_huma_45448.txt
wikipedia_huma_24702.txt,chat_huma_61886.txt
reviews_huma_58622.txt,chat_huma_53761.txt
news_huma_89352.txt,how-to_huma_137140.txt
literary_F_63217.txt,how-to_huma_137140.txt
literary_huma_74134.txt,how-to_huma_45448.txt
news_huma_70041.txt,how-to_huma_137140.txt
tweets_huma_101794.txt,chat_huma_17177.txt
literary_huma_43126.txt,how-to_huma_137140.txt
wikipedia_huma_7762.txt,chat_F_118150.txt
news_huma_51377.txt,how-to_huma_137140.txt
tweets_huma_95426.txt,chat_huma_9172.txt
reviews_huma_98564.txt,chat_huma_128729.txt
reviews_F_93260.txt,chat_huma_17177.txt
reviews_huma_149973.txt,chat_F_118150.txt
literary_huma_88738.txt,chat_huma_91935.txt
reviews_huma_15570.txt,chat_F_118150.txt
tweets_huma_140444.txt,chat_huma_52101.txt
news_huma_106767.txt,chat_huma_17177.txt
wikipedia_huma_25110.txt,chat_huma_61886.txt
literary_huma_152888.txt,chat_huma_128729.txt
literary_huma_91320.txt,chat_huma_91935.txt
news_huma_131782.txt,chat_huma_17177.txt
literary_huma_62243.txt,chat_huma_17177.txt
tweets_huma_120749.txt,chat_huma_28997.txt
wikipedia_huma_26147.txt,chat_huma_61886.txt
wikipedia_huma_34327.txt,chat_huma_40679.txt
wikipedia_huma_44826.txt,how-to_huma_137140.txt
news_F_42008.txt,how-to_huma_137140.txt
news_huma_800.txt,how-to_huma_137140.txt
wikipedia_huma_106699.txt,chat_huma_17177.txt
reviews_huma_89648.txt,chat_huma_128729.txt
reviews_huma_129482.txt,chat_huma_17177.txt
wikipedia_huma_40857.txt,chat_huma_61886.txt
literary_huma_151804.txt,chat_huma_17177.txt
literary_huma_106986.txt,chat_huma_91935.txt
reviews_huma_86976.txt,chat_huma_128729.txt
